año,película,reparto,personaje
2013,Los amantes pasajeros,Fernando Lueches,Enfermero ambulancia
2013,Los amantes pasajeros,Lola García,Enfermera ambulancia
2013,Los amantes pasajeros,Paulina Restrepo,
2013,Los amantes pasajeros,Lola Lueches,Foto hija Sr. Mas
2011,La piel que habito,Antonio Banderas,Robert Ledgard
2011,La piel que habito,Elena Anaya,Vera Cruz
2011,La piel que habito,Marisa Paredes,Marilia
2011,La piel que habito,Jan Cornet,Vicente
2011,La piel que habito,Roberto Álamo,Zeca
2011,La piel que habito,Eduard Fernández,Fulgencio
2011,La piel que habito,José Luis Gómez,Presidente del Instituto de Biotecnología
2011,La piel que habito,Blanca Suárez,Norma Ledgard
2011,La piel que habito,Susi Sánchez,Madre de Vicente
2011,La piel que habito,Bárbara Lennie,Cristina
2011,La piel que habito,Fernando Cayo,Médico
2011,La piel que habito,Chema Ruiz,Policía
2011,La piel que habito,Buika,Cantante (as Concha Buika)
2011,La piel que habito,Ana Mena,Norma joven
2011,La piel que habito,Teresa Manresa,Casilda Efraiz
2011,La piel que habito,Fernando Iglesias,
2011,La piel que habito,Agustín Almodóvar,Agustín
2011,La piel que habito,Miguel Almodóvar,Hijo de Agustín
2011,La piel que habito,Marta R. Mahou,Profesora de Yoga en TV
2011,La piel que habito,Guillermo Carbajo,Amigos (uncredited)
2011,La piel que habito,David Claudio,Amigos (uncredited)
2011,La piel que habito,Violaine Estérez,Colega del Dr. Ledgard (uncredited)
2011,La piel que habito,Sheyla Fariña,Amigos (uncredited)
2011,La piel que habito,Esther García,Presentadora (uncredited)
2011,La piel que habito,Iván González Lewis,Músico (uncredited)
2011,La piel que habito,Carmen Machi,Wedding Guest (uncredited)
2011,La piel que habito,Azahara Moyano,Cirujana Plástica (uncredited)
2009,Los abrazos rotos,Penélope Cruz,Lena
2009,Los abrazos rotos,Lluís Homar,Mateo Blanco / Harry Caine
2009,Los abrazos rotos,Blanca Portillo,Judit García
2009,Los abrazos rotos,José Luis Gómez,Ernesto Martel
2009,Los abrazos rotos,Rubén Ochandiano,Ray X
2009,Los abrazos rotos,Tamar Novas,Diego
2009,Los abrazos rotos,Ángela Molina,Madre de Lena
2009,Los abrazos rotos,Chus Lampreave,Portera
2009,Los abrazos rotos,Kiti Mánver,Madame Mylene
2009,Los abrazos rotos,Lola Dueñas,Lectora de labios
2009,Los abrazos rotos,Mariola Fuentes,Edurne
2009,Los abrazos rotos,Carmen Machi,Chon
2009,Los abrazos rotos,Kira Miró,Modelo
2009,Los abrazos rotos,Rossy de Palma,Julieta
2009,Los abrazos rotos,Alejo Sauras,Álex
2009,Los abrazos rotos,Carlos Sampedro,(as Carlos Sanpedro)
2009,Los abrazos rotos,Ramón Pons,Padre de Lena
2009,Los abrazos rotos,Coté Soler,
2009,Los abrazos rotos,Marta Aledo,Maribel
2009,Los abrazos rotos,Carlos Leal,
2009,Los abrazos rotos,Chema Ruiz,Dr. Blasco
2009,Los abrazos rotos,Dani Martín,
2009,Los abrazos rotos,Jons Pappila,
2009,Los abrazos rotos,Javi Coll,Luis (as Javier Coll)
2009,Los abrazos rotos,Juan Bautista Cucarella,
2009,Los abrazos rotos,Lyng Dyrup,
2009,Los abrazos rotos,Enrique Aparicio,
2009,Los abrazos rotos,Enrique Vargas,
2009,Los abrazos rotos,Viviana Espinoza,(as Viviana Espinosa)
2009,Los abrazos rotos,Fernando Lueches,Montador de Avid
2009,Los abrazos rotos,Fernando Iglesias,
2009,Los abrazos rotos,Javier Giner,
2009,Los abrazos rotos,Carlos García Cambero,
2009,Los abrazos rotos,Bina Daigeler,
2009,Los abrazos rotos,Agustín Almodóvar,Jardinero
2009,Los abrazos rotos,Esther García,
2009,Los abrazos rotos,Karola Sánchez,Ayudante de producción
2009,Los abrazos rotos,Yuyi Beringola,Recepcionista Cinearte (uncredited)
2009,Los abrazos rotos,Sergio Díaz,Ayudante de dirección (uncredited)
2009,Los abrazos rotos,Jaime Fernández-Cid Buscató,Vecino enrollado bar (uncredited)
